name,short_name,color
Blazing Titans,BLATI,#424036
Crimson Rhinos,CRIRH,#cbfbc0
Liberty Vikings,LIBVI,#1824a6
Rapid Mavericks,RAPMA,#f001ed
Coastal Eagles,COAEA,#f8b8c5
Wild Strikers,WILST,#6406de
Northern Rangers,NORRA,#d07e35
Phoenix Strikers,PHOST,#e45b86
Midnight Coyotes,MIDCO,#22e660
Mountain Pumas,MOUPU,#27d68c
Shadow Rangers,SHARA,#ee14a2
Southern Sharks,SOUSH,#f585e1
Wild Rangers,WILRA,#4654b4
Royal Comets,ROYCO,#018534
Northern Jets,NORJE,#ec700f
Urban Raptors,URBRA,#16e205
Cobalt Jets,COBJE,#7ede15
Western Raiders,WESRA,#ebb095
Unity Titans,UNITI,#5ad0fe
Crimson Hornets,CRIHO,#85b6d8
Southern Wolves,SOUWO,#1eaaa9
Shadow Pumas,SHAPU,#7e0ea1
Titan Knights,TITKN,#a00d6e
Liberty Rangers,LIBRA,#75c5c6
Velocity Hornets,VELHO,#19b986
Diamond Dragons,DIADR,#14ec16
Liberty Panthers,LIBPA,#eb9c69
Rapid Wolves,RAPWO,#24fcdc
Falcon Royals,FALRO,#8ab5d2
Arctic Hawks,ARCHA,#75b65f
Cobalt Blazers,COBBL,#9c9e7c
Emerald Dragons,EMEDR,#9a4651
Diamond Raptors,DIARA,#26c9cc
Valley Coyotes,VALCO,#a1373f
Lunar Cyclones,LUNCY,#0c5da0
Cobalt Hornets,COBHO,#ffc9b2
Prairie Spartans,PRASP,#20393f
Velocity Spartans,VELSP,#89adc9
Wild Comets,WILCO,#984d9c
Riverside Cyclones,RIVCY,#7e1bf6
